initial_set,seed,size,expected_size,cluster_type,id_col,r2
sample_state_combined_county_id_5ppc_1000_size_seed_5678.pkl,5678,911,1000,county,id,0.5073544773611024
sample_state_combined_county_id_5ppc_1000_size_seed_789.pkl,789,914,1000,county,id,0.48522845394379543
sample_state_combined_county_id_5ppc_1000_size_seed_9101.pkl,9101,913,1000,county,id,0.4720310918250372
sample_state_combined_county_id_5ppc_200_size_seed_1.pkl,1,185,200,county,id,0.3239470457647612
sample_state_combined_county_id_5ppc_200_size_seed_1213.pkl,1213,185,200,county,id,0.37388154167396115
sample_state_combined_county_id_5ppc_200_size_seed_123.pkl,123,185,200,county,id,0.35366846935410945
sample_state_combined_county_id_5ppc_200_size_seed_1234.pkl,1234,185,200,county,id,0.3749559523669693
sample_state_combined_county_id_5ppc_200_size_seed_1415.pkl,1415,185,200,county,id,0.2659269770764737
sample_state_combined_county_id_5ppc_200_size_seed_42.pkl,42,185,200,county,id,0.37150475639192504
sample_state_combined_county_id_5ppc_200_size_seed_456.pkl,456,185,200,county,id,0.05651801877684404
sample_state_combined_county_id_5ppc_200_size_seed_5678.pkl,5678,185,200,county,id,0.34424563296618016
sample_state_combined_county_id_5ppc_200_size_seed_789.pkl,789,185,200,county,id,0.4086108768518377
sample_state_combined_county_id_5ppc_200_size_seed_9101.pkl,9101,185,200,county,id,0.2471778359045782
sample_state_combined_county_id_5ppc_300_size_seed_1.pkl,1,290,300,county,id,0.4253377370753709
sample_state_combined_county_id_5ppc_300_size_seed_1213.pkl,1213,290,300,county,id,0.43078052927430655
sample_state_combined_county_id_5ppc_300_size_seed_123.pkl,123,290,300,county,id,0.4135994761396392
sample_state_combined_county_id_5ppc_300_size_seed_1234.pkl,1234,290,300,county,id,0.38944419461752533
sample_state_combined_county_id_5ppc_300_size_seed_1415.pkl,1415,290,300,county,id,0.3862774656482175
sample_state_combined_county_id_5ppc_300_size_seed_42.pkl,42,290,300,county,id,0.33866787488069927
sample_state_combined_county_id_5ppc_300_size_seed_456.pkl,456,290,300,county,id,0.4420731353003231
sample_state_combined_county_id_5ppc_300_size_seed_5678.pkl,5678,290,300,county,id,0.3648577567794046
sample_state_combined_county_id_5ppc_300_size_seed_789.pkl,789,290,300,county,id,0.4581935447542329
sample_state_combined_county_id_5ppc_300_size_seed_9101.pkl,9101,290,300,county,id,0.34887235528153704
sample_state_combined_county_id_5ppc_400_size_seed_1.pkl,1,390,400,county,id,0.42848047284590995
sample_state_combined_county_id_5ppc_400_size_seed_1213.pkl,1213,390,400,county,id,0.4243049977705421
sample_state_combined_county_id_5ppc_400_size_seed_123.pkl,123,390,400,county,id,0.45496382390538936
sample_state_combined_county_id_5ppc_400_size_seed_1234.pkl,1234,390,400,county,id,0.4037209236763546
sample_state_combined_county_id_5ppc_400_size_seed_1415.pkl,1415,390,400,county,id,0.42354772308608646
sample_state_combined_county_id_5ppc_400_size_seed_42.pkl,42,390,400,county,id,0.40238025841974856
sample_state_combined_county_id_5ppc_400_size_seed_456.pkl,456,389,400,county,id,0.4638454621597474
sample_state_combined_county_id_5ppc_400_size_seed_5678.pkl,5678,390,400,county,id,0.4277550033341385
sample_state_combined_county_id_5ppc_400_size_seed_789.pkl,789,390,400,county,id,0.47759280781916746
sample_state_combined_county_id_5ppc_400_size_seed_9101.pkl,9101,390,400,county,id,0.3033486317420645
sample_state_combined_county_id_5ppc_500_size_seed_1.pkl,1,490,500,county,id,0.46923901539730095
sample_state_combined_county_id_5ppc_500_size_seed_1213.pkl,1213,490,500,county,id,0.4502963802864737
sample_state_combined_county_id_5ppc_500_size_seed_123.pkl,123,490,500,county,id,0.4305126732383654
sample_state_combined_county_id_5ppc_500_size_seed_1234.pkl,1234,490,500,county,id,0.39286353389736717
sample_state_combined_county_id_5ppc_500_size_seed_1415.pkl,1415,490,500,county,id,0.4279865009359276
sample_state_combined_county_id_5ppc_500_size_seed_42.pkl,42,490,500,county,id,0.42336310254770126
sample_state_combined_county_id_5ppc_500_size_seed_456.pkl,456,494,500,county,id,0.4743042968359412
sample_state_combined_county_id_5ppc_500_size_seed_5678.pkl,5678,490,500,county,id,0.4342966474660176
sample_state_combined_county_id_5ppc_500_size_seed_789.pkl,789,490,500,county,id,0.45449638096749845
sample_state_combined_county_id_5ppc_500_size_seed_9101.pkl,9101,490,500,county,id,0.39971047930308545
sample_state_combined_county_id_5ppc_600_size_seed_1.pkl,1,590,600,county,id,0.49660845187979086
sample_state_combined_county_id_5ppc_600_size_seed_1213.pkl,1213,590,600,county,id,0.44138130838582046
sample_state_combined_county_id_5ppc_600_size_seed_123.pkl,123,590,600,county,id,0.43279148029462666
sample_state_combined_county_id_5ppc_600_size_seed_1234.pkl,1234,590,600,county,id,0.44391445449671674
sample_state_combined_county_id_5ppc_600_size_seed_1415.pkl,1415,585,600,county,id,0.4478112831732789
sample_state_combined_county_id_5ppc_600_size_seed_42.pkl,42,590,600,county,id,0.44183823542053857
sample_state_combined_county_id_5ppc_600_size_seed_456.pkl,456,589,600,county,id,0.4843628089481027
sample_state_combined_county_id_5ppc_600_size_seed_5678.pkl,5678,590,600,county,id,0.44749343911993755
sample_state_combined_county_id_5ppc_600_size_seed_789.pkl,789,590,600,county,id,0.4630574217197553
sample_state_combined_county_id_5ppc_600_size_seed_9101.pkl,9101,590,600,county,id,0.2727397891557115
sample_state_combined_county_id_5ppc_700_size_seed_1.pkl,1,685,700,county,id,0.49779244347905505
sample_state_combined_county_id_5ppc_700_size_seed_1213.pkl,1213,686,700,county,id,0.4576459825663306
sample_state_combined_county_id_5ppc_700_size_seed_123.pkl,123,686,700,county,id,0.45421990287296277
sample_state_combined_county_id_5ppc_700_size_seed_1234.pkl,1234,686,700,county,id,0.4367559661708841
sample_state_combined_county_id_5ppc_700_size_seed_1415.pkl,1415,686,700,county,id,0.4740859694861831
sample_state_combined_county_id_5ppc_700_size_seed_42.pkl,42,686,700,county,id,0.4823885570456983
sample_state_combined_county_id_5ppc_700_size_seed_456.pkl,456,685,700,county,id,0.4695941416348488
sample_state_combined_county_id_5ppc_700_size_seed_5678.pkl,5678,686,700,county,id,0.49505225731467084
sample_state_combined_county_id_5ppc_700_size_seed_789.pkl,789,686,700,county,id,0.4693831694286009
sample_state_combined_county_id_5ppc_700_size_seed_9101.pkl,9101,690,700,county,id,0.4416705163832114
sample_state_combined_county_id_5ppc_800_size_seed_1.pkl,1,760,800,county,id,0.49376993445169026
sample_state_combined_county_id_5ppc_800_size_seed_1213.pkl,1213,759,800,county,id,0.4700944647314197
sample_state_combined_county_id_5ppc_800_size_seed_123.pkl,123,761,800,county,id,0.5004145843721126
sample_state_combined_county_id_5ppc_800_size_seed_1234.pkl,1234,761,800,county,id,0.4620826031884828
sample_state_combined_county_id_5ppc_800_size_seed_1415.pkl,1415,762,800,county,id,0.44953261957640644
sample_state_combined_county_id_5ppc_800_size_seed_42.pkl,42,761,800,county,id,0.4814692044560869
sample_state_combined_county_id_5ppc_800_size_seed_456.pkl,456,760,800,county,id,0.4272487546839002
sample_state_combined_county_id_5ppc_800_size_seed_5678.pkl,5678,761,800,county,id,0.4978635758971677
sample_state_combined_county_id_5ppc_800_size_seed_789.pkl,789,761,800,county,id,0.4741587593389064
sample_state_combined_county_id_5ppc_800_size_seed_9101.pkl,9101,763,800,county,id,0.44559007163437725
sample_state_combined_county_id_5ppc_900_size_seed_1.pkl,1,833,900,county,id,0.4837482542782807
sample_state_combined_county_id_5ppc_900_size_seed_1213.pkl,1213,836,900,county,id,0.49790618587572
sample_state_combined_county_id_5ppc_900_size_seed_123.pkl,123,836,900,county,id,0.5140415702047815
sample_state_combined_county_id_5ppc_900_size_seed_1234.pkl,1234,835,900,county,id,0.47894674576233753
sample_state_combined_county_id_5ppc_900_size_seed_1415.pkl,1415,837,900,county,id,0.47921071947375793
sample_state_combined_county_id_5ppc_900_size_seed_42.pkl,42,835,900,county,id,0.4789601745462715
sample_state_combined_county_id_5ppc_900_size_seed_456.pkl,456,835,900,county,id,0.43991571352254333
sample_state_combined_county_id_5ppc_900_size_seed_5678.pkl,5678,836,900,county,id,0.49395663586471694
sample_state_combined_county_id_5ppc_900_size_seed_789.pkl,789,835,900,county,id,0.48902731026111934
sample_state_combined_county_id_5ppc_900_size_seed_9101.pkl,9101,833,900,county,id,0.37156841804605856
